drink_name,recipe,recipe_url,url_of_image
Citrus-Flavored Margarita Salt,"2 tablespoons lime zest, 2 tablespoons orange zest, 1/2 cup kosher salt, 1/2 cup coarse sea salt, 1/4 cup sugar",https://www.thespruceeats.com/margarita-salt-recipe-5180625,https://www.thespruceeats.com/thmb/7AaVYIydt7OOIU3IBeRS2aC83zg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/flavored-margarita-salt-recipe-5180625-099-0aff71ed2a1f4fd89ec445250766ef32.jpg
Rum Swizzle Cocktail,"2 cups crushed ice, 1 ounce dark rum, 1 ounce light rum, 1/2 ounce falernum, 2 ounces orange juice, 2 ounces pineapple juice, 1/2 ounce lemon juice, 3 dashes aromatic bitters, orange slice",https://www.thespruceeats.com/rum-swizzle-cocktail-recipe-5185155,https://www.thespruceeats.com/thmb/00YL986hemlVkYcn6Fw9ZDtu47U=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/rum-swizzle-cocktail-recipe-5185155-hero-02-2ef6ddadd2d745559b5fbe6e578b4085.jpg
Keto Mulled Wine,"1 cup water, 1 orange, 1 cup cranberries, 2 tablespoons sugar-free maple syrup, 3 pods star anise, 3 cinnamon sticks, 1/4 teaspoon nutmeg, 1 bottle red wine, 1/3 cup brandy",https://www.thespruceeats.com/keto-mulled-wine-5092914,https://www.thespruceeats.com/thmb/JTiQycCw4Bdq3SacSDY2huPLLIM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/keto-mulled-wine-5092914-fcf1b1e098e441c68959cb8b9650ff2d.jpg
Keto Simple Syrup,"1 cup water, 1 cup allulose monk fruit sweetener",https://www.thespruceeats.com/keto-simple-syrup-5118128,https://www.thespruceeats.com/thmb/bxHhYJVt3Ozo1l5CYzoXz-uKE08=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/keto-simple-syrup-recipe-5118128-hero-02-4f07ae4a5f1342a482950f2201b1797f.jpg
Birthday Cake Shot,"vanilla frosting, candy sprinkles, 1 ounce cake vodka cake vodka, 1 ounce crème de cacao, 1 ounce irish cream",https://www.thespruceeats.com/birthday-cake-shot-recipe-5115691,https://www.thespruceeats.com/thmb/S5ddalTkIboPftbS7FqQXj9qF-M=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/birthday-cake-shot-recipe-5115691-040-cd95245d2dcf4d298cec36050d158ceb.jpg
Spiked Lemonade,"5 1/2 to 6 cups water, 1 1/2 cups sugar, 1 tablespoon lemon zest, 6 to 8 large lemons, 1/2 to 1 cup light rum, lemon slices, seasonal fruit",https://www.thespruceeats.com/spiked-lemonade-recipe-5096010,https://www.thespruceeats.com/thmb/oxlHoBxYAYz4zKypUx0Peh-RPvs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/spiked-lemonade-recipe-5096010-068-bfb6c9fba7804e41a4d7698831cd82a9.jpg
Keto Margarita,"1/4 orange, 1/2 cup water, 1/2 cup allulose monk fruit sweetener, 1 1/2 ounces reposado tequila, 1 ounce orange syrup, 3/4 ounce lime juice, lime wedge",https://www.thespruceeats.com/keto-margarita-5118080,https://www.thespruceeats.com/thmb/MERlZ_GhbD_XroDg6HwOBdbilDo=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/keto-margarita-recipe-5118080-hero-01-1b4aa0e77a534cb6b5b045df51a29c09.jpg
Rum Old-Fashioned,"1 1/2 ounces dark rum, 1/2 ounce navy rum, 1 teaspoon rich demerara syrup, 2 dashes aromatic bitters, 2 dashes orange bitters, orange peel",https://www.thespruceeats.com/rum-old-fashioned-recipe-5096011,https://www.thespruceeats.com/thmb/Hi29mogRgTatk4k5NEGZb05Zf_c=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/rum-old-fashioned-recipe-5096011-033-98b159bb4f4e415d91ed47242fed3f0d.jpg
Homemade Orgeat Syrup,"1 cup whole raw almonds, 1 1/2 cups water, 1 cup sugar, 1/2 teaspoon orange flower water, 2 tablespoons brandy, 1/4 teaspoon citric acid",https://www.thespruceeats.com/orgeat-syrup-recipe-5095919,https://www.thespruceeats.com/thmb/5twWiXmE5tew1F2aOqCKI8Op8wM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/orgeat-syrup-recipe-5095919-117-df4775889e654513b823ab1a82cd11bf.jpg
Quinine-Free Tonic Syrup,"3 cups water, 1/4 ounce quassia bark, 1 1/2 tablespoons dried hops, 1 teaspoon dried dandelion root, 1 tablespoon lavender, 6 green cardamom pods, 4 allspice berries, 2 teaspoons lemongrass, 1/4 teaspoon kosher salt, 25 grams lemon peel, 20 grams lime peel, 10 grams orange peel, 3/4 cup water, 1 1/2 cups sugar, 2 to 3 teaspoons citric acid, soda water, for serving",https://www.thespruceeats.com/tonic-syrup-recipe-5101608,https://www.thespruceeats.com/thmb/QlXK7dzvCqMZRp5u5Za262dyUeQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/tonic-syrup-recipe-5101608-117-5e8527d8eaa548debcaa737b07b98b6a.jpg
