drink_name,recipe,recipe_url,url_of_image
Blue Hawaiian Cocktail,"['1 1/2 ounces rum', '3/4 ounce blue curaçao liqueur', '2 ounces pineapple juice', '3/4 ounce cream of coconut', 'Maraschino cherry', 'Pineapple wedge']",https://www.thespruceeats.com/blue-hawaiian-recipe-759284,https://www.thespruceeats.com/thmb/9X86rMHr-YHYKi8wU45hQA5SGJA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/blue-hawaiian-recipe-759284-10-5b3fab0a46e0fb0036527479.jpg
California Surfer Cocktail,"['1 ounce coconut rum', '1 ounce Jägermeister', '1 ounce pineapple juice']",https://www.thespruceeats.com/surfer-on-acid-cocktail-760567,https://www.thespruceeats.com/thmb/twYASItMDggOsW1fltBA9xMkfPE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/_surfer-on-acic-cocktail-760567-hero-5bbcc15dc9e77c00512a6c03.jpg
Frozen Rock Lobster Cocktail,"['1 1/2 ounces coconut rum', '3/4 ounce banana liqueur', '1/2 ounce grenadine', '1/2 banana', '1 dash pineapple juice', '1 dash orange juice', '1 cup ice', '1/4 ounce dark rum']",https://www.thespruceeats.com/rock-lobster-cocktail-recipe-759792,https://www.thespruceeats.com/thmb/kzgVefHosDZocA2n5hBf9UgDAlY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/RockLobster-200169699-001-56a170f13df78cf7726aabf3.jpg
Coconut Martini,"['1 1/2 ounces vanilla vodka', '1 ounce coconut rum', '1/2 ounce cream of coconut', '1 splash pineapple juice', 'Coconut flakes', 'Pineapple wedge']",https://www.thespruceeats.com/coconut-martini-recipe-759080,https://www.thespruceeats.com/thmb/YnRWydBuQEyvT1vhnigMsth0mIg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/coconut-martini-recipe-759080-13-5b5f2d28c9e77c002c0e0247.jpg
Lava Flow Cocktail,"['1 ounce light rum', '1 ounce coconut rum', '2 ounces strawberries', '1 small banana', '2 ounces coconut cream', '2 ounces pineapple juice', '1 cup ice', 'Pineapple wedge']",https://www.thespruceeats.com/lava-flow-recipe-hawaiian-tropical-drink-recipe-1532784,https://www.thespruceeats.com/thmb/mrDWgfNwpLV7dzaBSVOcJQWGbCw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/lava-flow-recipe-hawaiian-tropical-drink-recipe-1532784-5-5b4aaf5fc9e77c0037eebb94.jpg
Pineapple Sangria,"['1 (750 ml) bottle white wine (Chardonnay, Viognier, Riesling, Gewurztraminer, Sauvignon Blanc)', '1 medium orange (sliced into wedges)', '1 lemon (sliced into wedges)', '1 fresh pineapple (cut to your preference)', '1/4 cup\xa0sugar', '4 cups ginger ale', '3 shots coconut rum', 'Ice to taste', 'Optional: Sprig of mint']",https://www.thespruceeats.com/pineapple-sangria-recipe-3511270,https://www.thespruceeats.com/thmb/LhwIRdClxc3uFVh4KTZ4C9uiiiI=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/cold-pineapple-mojito-cocktail-1131138198-0809b994560149e58955083c0a77c201.jpg
Frozen Watermelon Coconut Mojitos,"['1 can\xa0full-fat coconut milk (or coconut cream)', '1/4 cup lime\xa0juice\xa0', '1 handful fresh mint leaves (about 15 to 20)', '6 cups chopped watermelon (placed in the freezer overnight to freeze)', '1/2 cup coconut rum (or more to taste)\u200b', 'Garnish: shredded coconut', 'Garnish: lime wedge', 'Garnish: mint sprig', 'Garnish: watermelon\xa0wedge']",https://www.thespruceeats.com/frozen-watermelon-coconut-mojitos-4133975,https://www.thespruceeats.com/thmb/-q-stpzvlCSM-e0oBNcw8Bmfn_Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/2_frozen_drinks_summer-58ef82633df78cd3fc704ddc.jpg
Cherry Cobbler Cocktail,"['Finely crushed graham crackers', '1 1/2 ounces black cherry bourbon whiskey', '1/4 ounce coconut rum', '1/2 ounce amaretto liqueur', '1 ounce pineapple juice', '1 tablespoon cherry purée', '1 splash cinnamon schnapps']",https://www.thespruceeats.com/cherry-cobbler-cocktail-recipe-761430,https://www.thespruceeats.com/thmb/w2TRSQXXIco6j3-drwsjs978ZTQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CherryCobbler-RedStag-GettyImages-505863396-574eddbf3df78ccee154c908.jpg
Mounds Bar Cocktail,"['2 ounces coconut rum', '6 ounces hot chocolate', 'Whipped cream', 'Shredded coconut']",https://www.thespruceeats.com/mound-bar-cocktail-recipe-760544,https://www.thespruceeats.com/thmb/YmRFGs6UyoC4JW_4Zag8Ra3nYvE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/MoundBar-168012808-56a172173df78cf7726ab69d.jpg
Triple Espresso Martini,"['Cocoa powder', '1 ounce coconut rum', '1/2 ounce amaretto liqueur', '1 1/2 ounces espresso vodka']",https://www.thespruceeats.com/triple-espresso-martini-761191,https://www.thespruceeats.com/thmb/sr3qVwG8_2mliFA7evQG2CfU98U=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/EspressoMartini-GettyImages-650166703-5a42f7d90c1a82003646d944.jpg
